Country or territory,Sale,Possession,Internet pornography,Penalty,Notes
Abkhazia Abkhazia,Uncertain,Uncertain,Uncertain,Uncertain,
Afghanistan Afghanistan,Illegal,Illegal,Blocked,Uncertain,
Albania Albania,Uncertain,Uncertain,Legal,Uncertain,
Algeria Algeria,Illegal,Illegal,Restricted,Uncertain,
Andorra Andorra,Legal,Legal,Legal,,
Argentina Argentina,Legal,Legal,Legal,,
Armenia Armenia,Illegal,Legal,Legal,"Article 263. (Illegal dissemination of pornographic materials or items)   Illegal manufacture, sale as well as, dissemination of pornographic materials or items, as well as, printed publications, films and videos, images or other pornographic objects, and advertising, is punished with a fine in the amount of 200 to 400 minimal salaries, or with arrest for the term of up to 2 months, or with imprisonment for the term of up to 2 years",
Australia Australia,"Illegal in [[Victoria (Australia)|Victoria]], [[South Australia]], [[Western Australia]], [[New South Wales]], [[Tasmania]], and [[Queensland]]. Legal in [[Northern Territory]] and the [[Australian Capital Territory]]",Legal,Restricted,,
Austria Austria,Legal,Legal,Legal,,
Azerbaijan Azerbaijan,Legal,Legal,Legal,,
Bahamas Bahamas,Illegal,Legal,Legal,Uncertain,
Bahrain Bahrain,Illegal,Illegal,Blocked,Uncertain,"[https://opennet.net/research/profiles/bahrain ""ONI Country Profile: Bahrain""] , OpenNet Initiative, 7 August 2009"
Bangladesh Bangladesh,Illegal,Illegal,Blocked,Up to 10 years in jail and 500 Thousand Taka fine,
Belarus Belarus,Illegal,Legal,Blocked,Up to four years in prison,
Belize Belize,Illegal,Legal,Legal,"Article 323. (Obscene publication)  # Every person who publishes or offers for sale any obscene book, writing or representation, shall be liable to imprisonment for two years.",
Bhutan Bhutan,Illegal,Illegal,Blocked,"Article 381. (Lewd and lascivious conduct )  A defendant shall be guilty of the offence of lewd and lascivious conduct, if the defendant:<br /> (b) Sells, manufactures, issues, distributes, displays or otherwise deals in obscene material. Article 476. (Computer pornography )  A defendant shall be guilty of the offence of computer pornography, if the defendant:<br /> (a) Publishes and distributes an obscene photograph or picture on the computer or over the internet; or<br /> (b) Is an internet service provider, who knowingly acts as a host for pornographic material or acts as a channel for the image to be transmitted to an individual user.","[https://2009-2017.state.gov/j/drl/rls/hrrpt/humanrightsreport/index.htm?year=2012&dlid=204398 ""Bhutan""] , Country Reports on Human Rights Practices for 2012 , Bureau of Democracy, Human Rights and Labor, U.S. Department of State, 25 March 2013. Retrieved 25 December 2013."
Belgium Belgium,Legal,Legal,Legal,,
Benin Benin,Uncertain,Uncertain,Uncertain,Uncertain,
Botswana Botswana,Illegal,Illegal,Legal,Uncertain,"[https://2009-2017.state.gov/j/drl/rls/hrrpt/humanrightsreport/index.htm?year=2012&dlid=204091 ""Botswana""] , Country Reports on Human Rights Practices for 2012 , Bureau of Democracy, Human Rights and Labor, U.S. Department of State, 22 March 2013. Retrieved 21 January 2014."
Brazil Brazil,Legal,Legal,Legal,,
