Country or territory,Sale,Possession,Internet pornography,,
Abkhazia,Uncertain,Uncertain,Uncertain,,
Afghanistan,Illegal,Illegal,Blocked,,
Albania,Uncertain,Uncertain,Legal,,
Algeria,Illegal,Illegal,Restricted,,
Andorra,Legal,Legal,Legal,,
Argentina,Legal,Legal,Legal,,
Armenia,Illegal,Legal,Legal,,
Australia,Illegal ,Legal,Restricted,,
Austria,Legal,Legal,Legal,,
Azerbaijan,Legal,Legal,Legal,,
Bahamas,Illegal,Legal,Legal,,
Bahrain,Illegal,Illegal,Blocked,,
Bangladesh,Illegal,Illegal,Blocked,,
Belarus,Illegal,Legal,Blocked,,
Belize,Illegal,Legal,Legal,,
Bhutan,Illegal,Illegal,Blocked,,
Belgium,Legal,Legal,Legal,,
Benin,Uncertain,Uncertain,Uncertain,,
Botswana,Illegal,Illegal,Legal,,
Brazil,Legal,Legal,Legal,,
Brunei,Illegal,Illegal,Uncertain,,
Bulgaria,Illegal,Legal,Legal,,
Burkina,Legal,Legal,Uncertain,,
Burundi,Uncertain,Uncertain,Uncertain,,
Cambodia,Illegal,Uncertain,Uncertain,,
Cameroon,Uncertain,Uncertain,Uncertain,,
Canada,Legal,Legal,Legal,,
Central,Uncertain,Uncertain,Uncertain,,
China,Illegal,Restricted,Blocked,,
Cuba,Illegal,Illegal,Blocked,,
Egypt,Illegal,Illegal,Legal,,
Republic,Uncertain,Uncertain,Uncertain,,
Ivory,Illegal,Uncertain,Uncertain,,
Comoros,Illegal,Uncertain,Uncertain,,
Croatia,Legal,Legal,Legal,,
Czech,Legal,Legal,Legal,,
Denmark,Legal,Legal,Legal,,
Djibouti,Illegal,Uncertain,Uncertain,,
Ecuador,Legal,Legal,Legal,,
Equatorial,Uncertain,Uncertain,Uncertain,,
Eritrea,Illegal,Legal,Uncertain,,
Estonia,Legal,Legal,Legal,,
Ethiopia,Illegal,Uncertain,Uncertain,,
Finland,Legal,Legal,Legal,,
France,Legal,Legal,Legal,,
Gabon,Illegal,Illegal,Legal,,
Gambia,Illegal,Illegal,Legal,,
Palestine,Illegal,Illegal,Blocked,,
Georgia,Uncertain,Uncertain,Legal,,
Germany,Legal,Legal,Legal,,
Ghana,Illegal,Illegal,Legal,,
Greece,Legal,Legal,Legal,,
Guinea,Uncertain,Uncertain,Uncertain,,
Guinea-Bissau,Uncertain,Uncertain,Uncertain,,
Guyana,Illegal,Legal,Legal,,
Hong,Restricted,Legal,Legal,,
Hungary,Legal,Legal,Legal,,
Iceland,Illegal,Legal,Legal,,
India,Illegal,"Legal, possession of pornography is legal in India, but manufacturing and distribution of pornography is illegal.",Most porn sites are banned,,
Indonesia,Illegal,Illegal,Blocked,,
Iran,Illegal,Illegal,Blocked,,
Iraq,Illegal,Uncertain,Legal,,
Ireland,Legal,Legal,Legal,,
Israel,Legal,Legal,Legal,,
Italy,Legal,Legal,Legal,,
Jamaica,Legal,Legal,Legal,,
Japan,Restricted,Legal,Restricted,,
Jordan,Illegal,Uncertain,Uncertain,,
Kazakhstan,Illegal,Uncertain,Some sites blocked,,
Kenya,Illegal,Uncertain,Legal,,
Kiribati,Illegal,Illegal,Uncertain,,
Kosovo,Legal,Legal,Legal,,
Kuwait,Illegal,Illegal,Blocked,,
Laos,Illegal,Legal,Legal,,
Lebanon,Illegal,Uncertain,Legal,,
Lesotho,Uncertain,Uncertain,Uncertain,,
Liberia,Uncertain,Uncertain,Uncertain,,
Libya,Illegal,Illegal,Legal,,
Lithuania,Illegal,Legal,Legal,,
Luxembourg,Legal,Legal,Legal,,
Macau,Legal,Legal,Legal,,
Madagascar,Uncertain,Uncertain,Uncertain,,
Malaysia,Illegal,Illegal,Blocked,,
Maldives,Illegal,Illegal,Some sites blocked,,
Mali,Illegal,Uncertain,Blocked,,
Mauritania,Uncertain,Uncertain,Uncertain,,
Mauritius,Uncertain,Uncertain,Uncertain,,
Mexico,Legal,Legal,Legal,,
Monaco,Legal,Legal,Legal,,
Mongolia,Illegal,Legal,Legal,,
Morocco,Illegal,Illegal,Legal,,
Mozambique,Uncertain,Uncertain,Uncertain,,
Myanmar,Illegal,Illegal,Blocked,,
Nagorno-Karabakh,Uncertain,Uncertain,Uncertain,,
Namibia,Uncertain,Uncertain,Uncertain,,
Nepal,Illegal,Illegal,Blocked,,
Netherlands,Legal,Legal,Legal,,
New,Legal,Legal,Legal,,
Niger,Uncertain,Uncertain,Uncertain,,
Nigeria,Illegal (but enforcement is light),Uncertain,Legal,,
North,Illegal,Illegal,Blocked,,
Northern,Uncertain,Uncertain,Uncertain,,
Norway,Legal,Legal,Legal,,
Oman,Illegal,Illegal,Blocked,,
Pakistan,Illegal,Illegal,Blocked,,
Palau,Uncertain,Uncertain,Uncertain,,
Palestine,Uncertain,Uncertain,Uncertain,,
Papua,Illegal,Illegal,Blocked,,
Philippines,Illegal,Legal,Some sites blocked depending on [[internet service provider|ISP]],,
Poland,Legal,Legal,Legal,,
Portugal,Legal,Legal,Legal,,
Qatar,Illegal,Illegal,Blocked,,
Romania,Legal,Legal,Legal,,
Russia,Restricted,Legal,Some sites blocked,,
Rwanda,Uncertain,Uncertain,Uncertain,,
São,Uncertain,Uncertain,Uncertain,,
Saudi,Illegal,Illegal,Blocked,,
Senegal,Uncertain,Uncertain,Legal,,
Sierra,Illegal,Uncertain,Legal,,
Singapore,Illegal,Uncertain,Some sites blocked,,
Slovakia,Legal,Legal,Legal,,
Slovenia,Legal,Legal,Legal,,
Solomon,Illegal,Illegal,Uncertain,,
Somalia,Illegal,Uncertain,Legal,,
Somaliland,Illegal,Illegal,Uncertain,,
South,Restricted,Legal,Legal,,
South,Illegal,Legal,Blocked,,
South,Uncertain,Uncertain,Uncertain,,
South,Illegal,Legal,Uncertain,,
Spain,Legal,Legal,Legal,,
Sri,Illegal,Restricted,Blocked,,
Sweden,Legal,Legal,Legal,,
Switzerland,Legal,Legal,Legal,,
Sudan,Illegal,Uncertain,Blocked,,
Syria,Illegal,Uncertain,Blocked,,
Taiwan,Legal,Legal,Legal,,
Tanzania,Illegal,Uncertain,Uncertain,,
Thailand,Illegal,Illegal,Blocked,,
Togo,Uncertain,Uncertain,Uncertain,,
Transnistria,Uncertain,Uncertain,Uncertain,,
Tunisia,Illegal,Uncertain,Legal,,
Turkey,Restricted,Restricted,Some sites blocked,,
Turkmenistan,Uncertain,Uncertain,Blocked,,
Uganda,Illegal,Illegal,Some sites blocked,,
Ukraine,Illegal,Legal,Legal,,
UAE,Illegal,Illegal,Blocked,,
United,Restricted,Legal,Restricted,,
United,Legal,Legal,Legal,,
Uzbekistan,Illegal,Uncertain,Uncertain,,
Uruguay,Legal,Legal,Legal,,
Vatican,Illegal,Uncertain,Uncertain,,
Venezuela,Legal,Legal,Some sites blocked,,
Vietnam,Illegal,May be punished,Blocked,,
Western,Uncertain,Uncertain,Uncertain,,
Yemen,Illegal,Illegal,Blocked,,
Zambia,Illegal,Illegal,Legal,,
Zimbabwe,Uncertain,Uncertain,Legal,,
